Files already downloaded and verified
[EPOCH: 40] 	Train Loss: 1.0445, 	Train Accuracy: 0.6318
[EPOCH: 40] 	Test Loss: 1.0516, 	Test Accuracy: 0.6986

[EPOCH: 41] 	Train Loss: 1.0354, 	Train Accuracy: 0.6349
[EPOCH: 41] 	Test Loss: 1.0263, 	Test Accuracy: 0.7006

[EPOCH: 42] 	Train Loss: 1.0312, 	Train Accuracy: 0.6352
[EPOCH: 42] 	Test Loss: 0.8512, 	Test Accuracy: 0.7141

[EPOCH: 43] 	Train Loss: 1.0215, 	Train Accuracy: 0.6392
[EPOCH: 43] 	Test Loss: 0.9028, 	Test Accuracy: 0.7152

[EPOCH: 44] 	Train Loss: 1.0180, 	Train Accuracy: 0.6402
[EPOCH: 44] 	Test Loss: 1.0433, 	Test Accuracy: 0.7123

[EPOCH: 45] 	Train Loss: 1.0090, 	Train Accuracy: 0.6431
[EPOCH: 45] 	Test Loss: 1.2831, 	Test Accuracy: 0.7059

[EPOCH: 46] 	Train Loss: 1.0025, 	Train Accuracy: 0.6459
[EPOCH: 46] 	Test Loss: 0.8406, 	Test Accuracy: 0.7254

[EPOCH: 47] 	Train Loss: 0.9979, 	Train Accuracy: 0.6490
[EPOCH: 47] 	Test Loss: 0.7845, 	Test Accuracy: 0.7233

[EPOCH: 48] 	Train Loss: 0.9883, 	Train Accuracy: 0.6514
[EPOCH: 48] 	Test Loss: 0.8496, 	Test Accuracy: 0.7323

[EPOCH: 49] 	Train Loss: 0.9827, 	Train Accuracy: 0.6535
[EPOCH: 49] 	Test Loss: 1.1129, 	Test Accuracy: 0.7201

[EPOCH: 50] 	Train Loss: 0.9730, 	Train Accuracy: 0.6565
[EPOCH: 50] 	Test Loss: 0.9028, 	Test Accuracy: 0.7345

[EPOCH: 51] 	Train Loss: 0.9674, 	Train Accuracy: 0.6597
[EPOCH: 51] 	Test Loss: 0.7854, 	Test Accuracy: 0.7420

[EPOCH: 52] 	Train Loss: 0.9612, 	Train Accuracy: 0.6612
[EPOCH: 52] 	Test Loss: 0.9417, 	Test Accuracy: 0.7332

[EPOCH: 53] 	Train Loss: 0.9586, 	Train Accuracy: 0.6634
[EPOCH: 53] 	Test Loss: 0.8691, 	Test Accuracy: 0.7361

[EPOCH: 54] 	Train Loss: 0.9461, 	Train Accuracy: 0.6676
[EPOCH: 54] 	Test Loss: 0.7299, 	Test Accuracy: 0.7436

[EPOCH: 55] 	Train Loss: 0.9403, 	Train Accuracy: 0.6679
[EPOCH: 55] 	Test Loss: 0.7153, 	Test Accuracy: 0.7495

[EPOCH: 56] 	Train Loss: 0.9399, 	Train Accuracy: 0.6701
[EPOCH: 56] 	Test Loss: 0.6967, 	Test Accuracy: 0.7541

[EPOCH: 57] 	Train Loss: 0.9336, 	Train Accuracy: 0.6702
[EPOCH: 57] 	Test Loss: 0.7139, 	Test Accuracy: 0.7489

[EPOCH: 58] 	Train Loss: 0.9239, 	Train Accuracy: 0.6749
[EPOCH: 58] 	Test Loss: 0.7191, 	Test Accuracy: 0.7583

[EPOCH: 59] 	Train Loss: 0.9209, 	Train Accuracy: 0.6772
[EPOCH: 59] 	Test Loss: 0.6905, 	Test Accuracy: 0.7591

[EPOCH: 60] 	Train Loss: 0.9150, 	Train Accuracy: 0.6788
[EPOCH: 60] 	Test Loss: 0.9989, 	Test Accuracy: 0.7294

[EPOCH: 61] 	Train Loss: 0.9122, 	Train Accuracy: 0.6790
[EPOCH: 61] 	Test Loss: 0.6774, 	Test Accuracy: 0.7634

[EPOCH: 62] 	Train Loss: 0.9063, 	Train Accuracy: 0.6817
[EPOCH: 62] 	Test Loss: 0.7010, 	Test Accuracy: 0.7596

[EPOCH: 63] 	Train Loss: 0.9012, 	Train Accuracy: 0.6809
[EPOCH: 63] 	Test Loss: 0.6624, 	Test Accuracy: 0.7618

[EPOCH: 64] 	Train Loss: 0.8995, 	Train Accuracy: 0.6848
[EPOCH: 64] 	Test Loss: 0.6698, 	Test Accuracy: 0.7668

[EPOCH: 65] 	Train Loss: 0.8861, 	Train Accuracy: 0.6899
[EPOCH: 65] 	Test Loss: 0.6476, 	Test Accuracy: 0.7742

[EPOCH: 66] 	Train Loss: 0.8881, 	Train Accuracy: 0.6866
[EPOCH: 66] 	Test Loss: 0.6697, 	Test Accuracy: 0.7684

[EPOCH: 67] 	Train Loss: 0.8866, 	Train Accuracy: 0.6884
[EPOCH: 67] 	Test Loss: 0.6593, 	Test Accuracy: 0.7734

[EPOCH: 68] 	Train Loss: 0.8684, 	Train Accuracy: 0.6947
[EPOCH: 68] 	Test Loss: 0.6534, 	Test Accuracy: 0.7750

[EPOCH: 69] 	Train Loss: 0.8718, 	Train Accuracy: 0.6938
[EPOCH: 69] 	Test Loss: 0.6420, 	Test Accuracy: 0.7767

[EPOCH: 70] 	Train Loss: 0.8690, 	Train Accuracy: 0.6922
[EPOCH: 70] 	Test Loss: 0.6483, 	Test Accuracy: 0.7753

[EPOCH: 71] 	Train Loss: 0.8626, 	Train Accuracy: 0.6979
[EPOCH: 71] 	Test Loss: 0.6539, 	Test Accuracy: 0.7726

[EPOCH: 72] 	Train Loss: 0.8630, 	Train Accuracy: 0.6990
[EPOCH: 72] 	Test Loss: 0.6375, 	Test Accuracy: 0.7818

[EPOCH: 73] 	Train Loss: 0.8552, 	Train Accuracy: 0.6984
[EPOCH: 73] 	Test Loss: 0.6549, 	Test Accuracy: 0.7712

[EPOCH: 74] 	Train Loss: 0.8549, 	Train Accuracy: 0.6997
[EPOCH: 74] 	Test Loss: 0.6643, 	Test Accuracy: 0.7686

[EPOCH: 75] 	Train Loss: 0.8485, 	Train Accuracy: 0.7029
[EPOCH: 75] 	Test Loss: 0.6264, 	Test Accuracy: 0.7823

[EPOCH: 76] 	Train Loss: 0.8485, 	Train Accuracy: 0.7018
[EPOCH: 76] 	Test Loss: 0.6463, 	Test Accuracy: 0.7811

[EPOCH: 77] 	Train Loss: 0.8484, 	Train Accuracy: 0.7033
[EPOCH: 77] 	Test Loss: 0.6472, 	Test Accuracy: 0.7721

[EPOCH: 78] 	Train Loss: 0.8341, 	Train Accuracy: 0.7074
[EPOCH: 78] 	Test Loss: 0.6130, 	Test Accuracy: 0.7841

[EPOCH: 79] 	Train Loss: 0.8383, 	Train Accuracy: 0.7067
[EPOCH: 79] 	Test Loss: 0.6447, 	Test Accuracy: 0.7766

[EPOCH: 80] 	Train Loss: 0.8294, 	Train Accuracy: 0.7098
[EPOCH: 80] 	Test Loss: 0.6101, 	Test Accuracy: 0.7856

[EPOCH: 81] 	Train Loss: 0.8308, 	Train Accuracy: 0.7078
[EPOCH: 81] 	Test Loss: 0.6188, 	Test Accuracy: 0.7832

[EPOCH: 82] 	Train Loss: 0.8215, 	Train Accuracy: 0.7111
[EPOCH: 82] 	Test Loss: 0.6122, 	Test Accuracy: 0.7868

[EPOCH: 83] 	Train Loss: 0.8228, 	Train Accuracy: 0.7123
[EPOCH: 83] 	Test Loss: 0.6228, 	Test Accuracy: 0.7855

[EPOCH: 84] 	Train Loss: 0.8133, 	Train Accuracy: 0.7136
[EPOCH: 84] 	Test Loss: 0.6631, 	Test Accuracy: 0.7812

[EPOCH: 85] 	Train Loss: 0.8153, 	Train Accuracy: 0.7147
[EPOCH: 85] 	Test Loss: 0.5799, 	Test Accuracy: 0.7968

[EPOCH: 86] 	Train Loss: 0.8103, 	Train Accuracy: 0.7153
[EPOCH: 86] 	Test Loss: 0.6156, 	Test Accuracy: 0.7841

[EPOCH: 87] 	Train Loss: 0.8089, 	Train Accuracy: 0.7164
[EPOCH: 87] 	Test Loss: 0.6025, 	Test Accuracy: 0.7869

[EPOCH: 88] 	Train Loss: 0.8079, 	Train Accuracy: 0.7182
[EPOCH: 88] 	Test Loss: 0.5850, 	Test Accuracy: 0.7959

[EPOCH: 89] 	Train Loss: 0.8013, 	Train Accuracy: 0.7202
[EPOCH: 89] 	Test Loss: 0.5724, 	Test Accuracy: 0.8006

