fan
id,AUC,pAUC
00,0.5287807351689415,0.5310312134313169
04,0.8481222750693618,0.7589805369547531
Average,0.6884515051191517,0.645005875193035
pump
id,AUC,pAUC
00,0.793755195853098,0.7274606144683436
04,0.9917,0.9626315789473685
Average,0.892727597926549,0.8450460967078561
slider
id,AUC,pAUC
00,0.9657634768337331,0.881394560761201
04,0.9991793965408409,0.9956810344254778
Average,0.982471436687287,0.9385377975933394
valve
id,AUC,pAUC
00,0.9998587670362262,0.9992566686117171
04,0.971875,0.8961988304093567
Average,0.9858668835181131,0.947727749510537
Total Average,0.8873793558127752,0.8440793797511918
