DateTime,Latent Size,Epoch,Fault,AUC,Validation Loss
2025-02-25 12:58:04,2048,500,Total,0.8607925714924272,333411.9837447428
2025-02-25 12:58:04,2048,500,ball,0.6405665498522641,333411.9837447428
2025-02-25 12:58:04,2048,500,inner,1.0,333411.9837447428
2025-02-25 12:58:04,2048,500,outer,0.9418111646250175,333411.9837447428
2025-02-25 12:59:07,1024,500,Total,0.8599893978609707,346350.606305321
2025-02-25 12:59:07,1024,500,ball,0.6386045676305417,346350.606305321
2025-02-25 12:59:07,1024,500,inner,1.0,346350.606305321
2025-02-25 12:59:07,1024,500,outer,0.9413636259523706,346350.606305321
2025-02-25 13:00:10,512,500,Total,0.8595139708776072,348959.87185775733
2025-02-25 13:00:10,512,500,ball,0.6387184877011718,348959.87185775733
2025-02-25 13:00:10,512,500,inner,1.0,348959.87185775733
2025-02-25 13:00:10,512,500,outer,0.93982342493165,348959.87185775733
2025-02-25 13:01:12,256,500,Total,0.8594873978568063,384245.03205125197
2025-02-25 13:01:12,256,500,ball,0.6381747801661222,384245.03205125197
2025-02-25 13:01:12,256,500,inner,1.0,384245.03205125197
2025-02-25 13:01:12,256,500,outer,0.9402874134042966,384245.03205125197
2025-02-25 13:02:12,128,500,Total,0.8608248637685867,375575.1763285685
2025-02-25 13:02:12,128,500,ball,0.6403657165345477,375575.1763285685
2025-02-25 13:02:12,128,500,inner,1.0,375575.1763285685
2025-02-25 13:02:12,128,500,outer,0.9421088747712123,375575.1763285685
2025-02-25 13:02:57,100,500,Total,0.8612618592993773,377387.2687836599
2025-02-25 13:02:57,100,500,ball,0.6411015639803519,377387.2687836599
2025-02-25 13:02:57,100,500,inner,1.0,377387.2687836599
2025-02-25 13:02:57,100,500,outer,0.9426840139177801,377387.2687836599
2025-02-25 13:03:41,4,500,Total,0.8642446349012005,395248.3194678374
2025-02-25 13:03:41,4,500,ball,0.659306786687739,395248.3194678374
2025-02-25 13:03:41,4,500,inner,1.0,395248.3194678374
2025-02-25 13:03:41,4,500,outer,0.9334271180158626,395248.3194678374
