Files already downloaded and verified
[EPOCH: 40] 	Train Loss: 1.3401, 	Train Accuracy: 0.5181
[EPOCH: 40] 	Test Loss: 1.1264, 	Test Accuracy: 0.5997

[EPOCH: 41] 	Train Loss: 1.3296, 	Train Accuracy: 0.5247
[EPOCH: 41] 	Test Loss: 1.1078, 	Test Accuracy: 0.6056

[EPOCH: 42] 	Train Loss: 1.3257, 	Train Accuracy: 0.5241
[EPOCH: 42] 	Test Loss: 1.1255, 	Test Accuracy: 0.5958

[EPOCH: 43] 	Train Loss: 1.3193, 	Train Accuracy: 0.5272
[EPOCH: 43] 	Test Loss: 1.1090, 	Test Accuracy: 0.6004

[EPOCH: 44] 	Train Loss: 1.3085, 	Train Accuracy: 0.5335
[EPOCH: 44] 	Test Loss: 1.0961, 	Test Accuracy: 0.6067

[EPOCH: 45] 	Train Loss: 1.3003, 	Train Accuracy: 0.5330
[EPOCH: 45] 	Test Loss: 1.0852, 	Test Accuracy: 0.6112

[EPOCH: 46] 	Train Loss: 1.2979, 	Train Accuracy: 0.5379
[EPOCH: 46] 	Test Loss: 1.0915, 	Test Accuracy: 0.6129

[EPOCH: 47] 	Train Loss: 1.2869, 	Train Accuracy: 0.5402
[EPOCH: 47] 	Test Loss: 1.1113, 	Test Accuracy: 0.6024

[EPOCH: 48] 	Train Loss: 1.2789, 	Train Accuracy: 0.5419
[EPOCH: 48] 	Test Loss: 1.0688, 	Test Accuracy: 0.6130

[EPOCH: 49] 	Train Loss: 1.2729, 	Train Accuracy: 0.5455
[EPOCH: 49] 	Test Loss: 1.0823, 	Test Accuracy: 0.6091

[EPOCH: 50] 	Train Loss: 1.2636, 	Train Accuracy: 0.5490
[EPOCH: 50] 	Test Loss: 1.0565, 	Test Accuracy: 0.6196

[EPOCH: 51] 	Train Loss: 1.2622, 	Train Accuracy: 0.5495
[EPOCH: 51] 	Test Loss: 1.0429, 	Test Accuracy: 0.6207

[EPOCH: 52] 	Train Loss: 1.2561, 	Train Accuracy: 0.5543
[EPOCH: 52] 	Test Loss: 1.0465, 	Test Accuracy: 0.6233

[EPOCH: 53] 	Train Loss: 1.2476, 	Train Accuracy: 0.5526
[EPOCH: 53] 	Test Loss: 1.0191, 	Test Accuracy: 0.6262

[EPOCH: 54] 	Train Loss: 1.2440, 	Train Accuracy: 0.5547
[EPOCH: 54] 	Test Loss: 1.0532, 	Test Accuracy: 0.6198

[EPOCH: 55] 	Train Loss: 1.2442, 	Train Accuracy: 0.5555
[EPOCH: 55] 	Test Loss: 1.0169, 	Test Accuracy: 0.6360

[EPOCH: 56] 	Train Loss: 1.2372, 	Train Accuracy: 0.5567
[EPOCH: 56] 	Test Loss: 1.0140, 	Test Accuracy: 0.6340

[EPOCH: 57] 	Train Loss: 1.2318, 	Train Accuracy: 0.5600
[EPOCH: 57] 	Test Loss: 1.0054, 	Test Accuracy: 0.6372

[EPOCH: 58] 	Train Loss: 1.2202, 	Train Accuracy: 0.5651
[EPOCH: 58] 	Test Loss: 0.9987, 	Test Accuracy: 0.6456

[EPOCH: 59] 	Train Loss: 1.2221, 	Train Accuracy: 0.5613
[EPOCH: 59] 	Test Loss: 1.0117, 	Test Accuracy: 0.6395

[EPOCH: 60] 	Train Loss: 1.2174, 	Train Accuracy: 0.5650
[EPOCH: 60] 	Test Loss: 1.0075, 	Test Accuracy: 0.6387

[EPOCH: 61] 	Train Loss: 1.2155, 	Train Accuracy: 0.5649
[EPOCH: 61] 	Test Loss: 0.9929, 	Test Accuracy: 0.6414

[EPOCH: 62] 	Train Loss: 1.2016, 	Train Accuracy: 0.5695
[EPOCH: 62] 	Test Loss: 0.9793, 	Test Accuracy: 0.6457

[EPOCH: 63] 	Train Loss: 1.2101, 	Train Accuracy: 0.5673
[EPOCH: 63] 	Test Loss: 0.9830, 	Test Accuracy: 0.6425

[EPOCH: 64] 	Train Loss: 1.1930, 	Train Accuracy: 0.5747
[EPOCH: 64] 	Test Loss: 0.9734, 	Test Accuracy: 0.6529

[EPOCH: 65] 	Train Loss: 1.1935, 	Train Accuracy: 0.5778
