fan
id,AUC,pAUC
00,0.5266587785015304,0.5325912654245772
04,0.8475814176245213,0.7591804521211869
Average,0.6871200980630259,0.6458858587728821
pump
id,AUC,pAUC
00,0.7903075945033988,0.7250412451001336
04,0.9922,0.9636842105263159
Average,0.8912537972516994,0.8443627278132247
slider
id,AUC,pAUC
00,0.9661264360560535,0.8829394215243955
04,0.9987059714682489,0.9931893235170999
Average,0.9824162037621512,0.9380643725207477
valve
id,AUC,pAUC
00,0.9997175340724526,0.9985133372234343
04,0.9729861111111111,0.9016812865497076
Average,0.9863518225917818,0.950097311886571
Total Average,0.8867854804171645,0.8446025677483564
