fan
id,AUC,pAUC
00,0.5635257985257985,0.5141600931074616
02,0.997033426183844,0.9860724233983287
04,0.7950431034482759,0.7186176648517847
06,1.0,1.0
Average,0.8389005820394796,0.8047125453393937
pump
id,AUC,pAUC
00,0.8466433566433567,0.8141332351858668
02,0.7157207207207208,0.6116642958748222
04,0.9989,0.9942105263157894
06,0.9611764705882353,0.8880288957688338
Average,0.8806101369880781,0.8270092382863281
slider
id,AUC,pAUC
00,0.9987640449438203,0.9934949733885274
02,0.9621722846441948,0.804060713581707
04,0.9956741573033707,0.9772324068598462
06,0.9933707865168538,0.9651094027202838
Average,0.98749531835206,0.9349743741375911
valve
id,AUC,pAUC
00,1.0,1.0
02,0.7417083333333333,0.6785087719298246
04,0.990125,0.9578947368421052
06,0.9969166666666667,0.9837719298245613
Average,0.9321875,0.9050438596491228
Total Average,0.9097983843449043,0.8679350043531089
