fan
id,AUC,pAUC
00,0.8216681054518893,0.7943749799433235
04,0.9900127163429779,0.9513945386653316
Average,0.9058404108974336,0.8728847593043276
pump
id,AUC,pAUC
00,0.8968653723898479,0.8495358156749397
04,0.986,0.9752631578947368
Average,0.9414326861949239,0.9123994867848383
slider
id,AUC,pAUC
00,0.743340487312208,0.8560372494169397
04,0.9906893069056938,0.95099635213523
Average,0.8670148971089509,0.9035168007760849
valve
id,AUC,pAUC
00,0.999435068144905,0.9970266744468685
04,0.8577430555555555,0.7035818713450293
Average,0.9285890618502303,0.8503042728959489
Total Average,0.9107192640128847,0.8847763299402999
