fan
id,AUC,pAUC
00,0.8815688594558374,0.7042478214080439
04,0.8844299114810411,0.7654473579906962
Average,0.8829993854684393,0.73484758969937
pump
id,AUC,pAUC
00,0.7002787422367843,0.643709253573074
04,0.9502499999999999,0.9473684210526316
Average,0.8252643711183921,0.7955388373128528
slider
id,AUC,pAUC
00,0.8478293460421664,0.831502202672443
04,0.9786643100618608,0.8964777174599167
Average,0.9132468280520136,0.8639899600661798
valve
id,AUC,pAUC
00,0.9954805451592402,0.9762133955749484
04,0.7919097222222222,0.6220760233918129
Average,0.8936951336907313,0.7991447094833806
Total Average,0.878801429582394,0.7983802741404458
