Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.669023649910027,2048
ball,0.6589230415928181,13.669023649910027,2048
inner,1.0,13.669023649910027,2048
outer,0.5351828344505715,13.669023649910027,2048
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.669028828129703,1024
ball,0.6589230415928181,13.669028828129703,1024
inner,1.0,13.669028828129703,1024
outer,0.5351828344505715,13.669028828129703,1024
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.66881600412361,512
ball,0.6589230415928181,13.66881600412361,512
inner,1.0,13.66881600412361,512
outer,0.5351828344505715,13.66881600412361,512
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668815116111542,256
ball,0.6589230415928181,13.668815116111542,256
inner,1.0,13.668815116111542,256
outer,0.5351828344505715,13.668815116111542,256
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668815694601584,128
ball,0.6589230415928181,13.668815694601584,128
inner,1.0,13.668815694601584,128
outer,0.5351828344505715,13.668815694601584,128
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668814081277574,100
ball,0.6589230415928181,13.668814081277574,100
inner,1.0,13.668814081277574,100
outer,0.5351828344505715,13.668814081277574,100
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668988740330217,4
ball,0.6589230415928181,13.668988740330217,4
inner,1.0,13.668988740330217,4
outer,0.5351828344505715,13.668988740330217,4
