Fault,AUC,Validation Loss,latent size
Total,0.8607925714924272,333411.9837447428,2048
ball,0.6405665498522641,333411.9837447428,2048
inner,1.0,333411.9837447428,2048
outer,0.9418111646250175,333411.9837447428,2048
Fault,AUC,Validation Loss,latent size
Total,0.8599893978609707,346350.606305321,1024
ball,0.6386045676305417,346350.606305321,1024
inner,1.0,346350.606305321,1024
outer,0.9413636259523706,346350.606305321,1024
Fault,AUC,Validation Loss,latent size
Total,0.8595139708776072,348959.87185775733,512
ball,0.6387184877011718,348959.87185775733,512
inner,1.0,348959.87185775733,512
outer,0.93982342493165,348959.87185775733,512
Fault,AUC,Validation Loss,latent size
Total,0.8594873978568063,384245.03205125197,256
ball,0.6381747801661222,384245.03205125197,256
inner,1.0,384245.03205125197,256
outer,0.9402874134042966,384245.03205125197,256
Fault,AUC,Validation Loss,latent size
Total,0.8608248637685867,375575.1763285685,128
ball,0.6403657165345477,375575.1763285685,128
inner,1.0,375575.1763285685,128
outer,0.9421088747712123,375575.1763285685,128
Fault,AUC,Validation Loss,latent size
Total,0.8612618592993773,377387.2687836599,100
ball,0.6411015639803519,377387.2687836599,100
inner,1.0,377387.2687836599,100
outer,0.9426840139177801,377387.2687836599,100
Fault,AUC,Validation Loss,latent size
Total,0.8642446349012005,395248.3194678374,4
ball,0.659306786687739,395248.3194678374,4
inner,1.0,395248.3194678374,4
outer,0.9334271180158626,395248.3194678374,4
