Fault,AUC,Validation Loss,latent size
Total,0.7325641421811958,13.580624722686805,2048
ball,0.6612365323257057,13.580624722686805,2048
inner,1.0,13.580624722686805,2048
outer,0.5364558942178816,13.580624722686805,2048
Fault,AUC,Validation Loss,latent size
Total,0.7311767600062241,13.98681029453308,1024
ball,0.6587040084382241,13.98681029453308,1024
inner,1.0,13.98681029453308,1024
outer,0.5348262715804482,13.98681029453308,1024
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668832055353262,512
ball,0.6589230415928181,13.668832055353262,512
inner,1.0,13.668832055353262,512
outer,0.5351828344505715,13.668832055353262,512
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668861327187573,256
ball,0.6589230415928181,13.668861327187573,256
inner,1.0,13.668861327187573,256
outer,0.5351828344505715,13.668861327187573,256
Fault,AUC,Validation Loss,latent size
Total,0.7313686253477965,13.668814664918356,128
ball,0.6589230415928181,13.668814664918356,128
inner,1.0,13.668814664918356,128
outer,0.5351828344505715,13.668814664918356,128
